"","geocode","sigla","nome"
"1",12,"AC","Acre"
"2",27,"AL","Alagoas"
"3",13,"AM","Amazonas"
"4",16,"AP","Amapá"
"5",29,"BA","Bahia"
"6",23,"CE","Ceará"
"7",53,"DF","Distrito Federal"
"8",32,"ES","Espírito Santo"
"9",52,"GO","Goiás"
"10",21,"MA","Maranhão"
"11",31,"MG","Minas Gerais"
"12",50,"MS","Mato Grosso do Sul"
"13",51,"MT","Mato Grosso"
"14",15,"PA","Pará"
"15",25,"PB","Paraíba"
"16",26,"PE","Pernambuco"
"17",22,"PI","Piauí"
"18",41,"PR","Paraná"
"19",33,"RJ","Rio de Janeiro"
"20",24,"RN","Rio Grande do Norte"
"21",11,"RO","Rondônia"
"22",14,"RR","Roraima"
"23",43,"RS","Rio Grande do Sul"
"24",42,"SC","Santa Catarina"
"25",28,"SE","Sergipe"
"26",35,"SP","São Paulo"
"27",17,"TO","Tocantins"
