dia,novos.casos,casos.acumulados
2020-02-28,0.0,1.0
2020-02-29,1.0,2.0
2020-03-01,0.0,2.0
2020-03-02,0.0,2.0
2020-03-03,0.0,2.0
2020-03-04,2.0,4.0
2020-03-05,5.0, 6.0
2020-03-06,4.0,10.0
2020-03-08,6.0,16.0
2020-03-09,0.0,16.0
2020-03-10,3.0,19.0
2020-03-11,11.0,30.0
2020-03-12,12.0,42.0
2020-03-13,14.0,56.0
2020-03-14,9.0,65.0
2020-03-15,71.0,136.0
2020-03-16,16.0,152.0
2020-03-17,12.0,164.0
2020-03-18,76.0,240.0
2020-03-19,46.0,286.0
2020-03-20,90.0,396.0
2020-03-21,63.0,459.0
2020-03-22,172.0,631.0
2020-03-23,114.0,745.0
2020-03-24,65.0,810.0
2020-03-25,52.0,862.0
2020-03-26,190.0,1052.0
2020-03-27,171.0,1223.0
2020-03-28,183.0,1406.0
